CO,HC,Temp,Hum,CO2,TVOC,DD
173,44,33.8,45,500,15,4
167,38,33.8,45,560,24,0
167,38,33.8,45,543,21,0
167,38,33.8,45,527,19,0
173,43,33.8,45,548,22,0
170,40,33.8,45,572,26,4
162,35,33.8,45,570,25,0
166,39,33.8,45,543,21,0
168,35,33.8,45,530,19,0
168,36,33.8,45,536,20,0
167,38,33.8,45,536,20,0
167,41,33.8,45,536,20,1
168,41,33.8,45,536,20,3
168,35,33.8,45,476,11,1
167,38,33.8,45,527,19,0
167,38,33.7,45,533,20,0
167,38,33.7,45,523,18,1
167,38,33.7,44,537,20,3
167,38,33.8,44,543,21,0
169,39,33.8,44,551,23,0
168,41,33.8,44,542,21,2
168,40,33.8,44,546,22,0
172,41,33.8,44,551,23,0
164,45,33.8,44,486,13,3
171,39,33.8,44,552,23,0
168,41,33.8,44,555,23,0
167,38,33.8,44,542,21,0
167,38,33.8,44,542,21,0
168,37,33.8,44,548,22,0
170,43,33.8,44,483,12,1
173,39,33.8,44,561,24,0
167,38,33.8,44,560,24,1
172,42,33.8,44,551,23,3
169,38,33.7,44,478,11,0
168,37,33.7,44,549,22,0
171,42,33.7,44,546,22,9
169,38,33.7,44,533,20,0
168,37,33.8,44,542,21,0
171,44,33.8,44,545,22,3
167,38,33.8,44,497,14,0
172,40,33.8,44,527,19,0
172,43,33.8,44,526,19,33
172,40,33.8,44,518,17,8
168,37,33.8,44,536,20,0
168,36,33.8,44,553,23,0
169,41,33.8,44,560,24,1
169,38,33.7,44,567,25,0
169,38,33.7,44,570,25,1
174,40,33.7,44,570,25,0
169,35,33.7,44,552,23,0
169,35,33.7,44,577,26,0
168,40,33.7,45,591,29,0
175,40,33.4,45,591,29,8
165,43,33.4,45,527,19,0
177,43,33.4,45,605,31,3
178,40,33.4,45,611,32,4
173,39,33.4,45,615,32,0
180,48,33.4,45,614,32,9
176,40,33.4,45,476,11,0
176,40,33.3,45,617,33,0
174,40,33.4,45,620,33,0
177,42,33.4,45,603,30,4
177,42,33.4,45,464,9,5
174,39,33.4,45,631,35,0
174,41,33.4,45,643,37,0
176,35,33.4,45,640,36,9
178,40,33.7,46,465,9,4
176,37,33.7,46,649,37,0
178,43,33.5,46,572,26,10
178,43,33.4,46,631,35,6
176,40,33.4,46,629,34,16
178,42,33.4,46,633,35,4
176,40,33.4,46,645,37,0
179,44,33.4,46,643,37,3
176,37,33.4,46,627,34,0
175,39,33.4,46,641,36,0
175,39,33.4,46,640,36,0
179,42,33.4,46,643,37,4
173,39,33.4,46,589,28,2
180,43,33.3,46,565,25,0
187,43,33.4,46,643,37,0
179,42,33.3,46,633,35,0
181,40,33.4,46,631,35,0
177,39,33.4,46,597,30,0
180,44,33.4,46,565,25,4
175,39,33.5,46,634,35,0
182,40,33.7,46,626,34,0
175,39,33.6,46,483,12,0
